"COMID","StreamOrde","TotDASqKM","logQ_m3_div_s","logDA_km2","logw_m","length_m","logwbkf_m","logd_m","logdbkf_m","logSlope","logK_m_div_s","D50_m","pred_annual_DOC","pred_annual_DO","no3_conc_mg_l","logRT_total_hz_s","logq_hz_total_m_s","totco2g_m2_day","totco2_o2g_m2_day","totco2_ang_m2_day"
"23099412",7,15230.0916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099414",7,15229.4184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099416",7,15229.2303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099418",7,15229.2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099420",7,15229.0791,2.01080240388523,4.18267364241153,2.07000959203421,3264,2.10680483900017,0.198143088924089,0.479347020056224,-3.72843717456769,-3.85656985046699,0.0002178005,2.32539202723663,10.8632964347727,0.424408403427716,8.50044002144888,-5.7904581779834,0.127100901019156,0.125761852093601,0.00133904892555523
"23099422",7,15223.1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099424",7,15222.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099426",7,15217.848,2.01078752892131,4.18235324193493,2.06984093677991,267,2.10665667310873,0.198017977821158,0.47925264486677,-2.85831197874369,-1.86096775694351,0.0037146006,2.24263145533563,10.8631956682349,0.424341161378862,6.44354723323259,-4.4083667283116,2.7571042167819,2.73000769258709,0.027096524194811
"23099428",7,15210.8424,2.0107786516838,4.18215326661978,2.06973567199383,446,2.1065641965895,0.197939890778089,0.479193741358851,-2.78601234364771,-1.77723574088474,0.0041840663,2.3190886669112,10.8631327299594,0.42429019047428,6.41880809875889,-4.29447838657733,4.0191276322935,3.97627836050087,0.0428492717926278
"23099430",7,15210.3663,2.01077805186407,4.18213967297168,2.06972851644837,217,2.10655791034733,0.197934582687379,0.479189737305351,-3.13234398558445,-2.52232609541917,0.0014509961,2.35605652002831,10.8631285090946,0.424287857530694,7.45904640903083,-5.15865930348761,0.583049007327998,0.576692628617393,0.0063563787106047
"23099432",7,15209.8245,2.01077733207904,4.18212420293391,2.06972037319221,2190,2.10655075638813,0.197928541875509,0.479185180544629,-2.99605288267696,-2.19430681033081,0.002312849,2.27810570543365,11.4774839244086,0.424284905695504,7.05340076404805,-4.7524023030785,1.39666328662348,1.38524680010872,0.0114164865147594
"23099434",7,15193.9089,2.01075609788671,4.1816695181229,2.0694810321549,385,2.10634049209308,0.197750994991189,0.479051251378907,-2.99439912914651,-2.22203749881729,0.0022234613,2.21594554951067,10.8629806066952,0.424037247097292,6.91838343277243,-4.78601765040597,1.23472070378606,1.22297176832015,0.0117489354659082
"23099436",7,15193.548,2.0107556180059,4.1816592022298,2.06947560198328,3238,2.10633572161485,0.197746966796821,0.479048212795879,-3.13007044873538,-2.51954896640568,0.0014567349,2.26985145153847,10.8629773701016,0.42403626736577,7.55978418857847,-5.14522650810792,0.538132600043769,0.532776785048267,0.0053558149955021
"23099438",7,15178.662,2.01073558251112,4.18123349016108,2.0692515118759,2694,2.10613885546525,0.19758073328993,0.47892281766984,-3.35485293650571,-3.03735871159963,0.0006978224,2.27769073107841,10.8628434337674,0.42249364137247,8.29276646847026,-5.80302286462488,0.122840297939044,0.121613894682122,0.00122640325692256
"23099440",7,15170.9931,2.01072526447068,4.18101401082847,2.06913598039153,406,2.10603735951458,0.197495030226801,0.478858169184229,-3.49459223585406,-3.34431289451438,0.000451094,2.28298632778887,10.8676353101501,0.42231709509943,8.50500064137964,-6.20363384502248,0.0506062206146024,0.0500973432720907,0.000508877342511708
"23099442",7,15170.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099444",7,15170.6385,2.01072478455579,4.18100385970507,2.06913063695285,424,2.1060326652324,0.197491066382503,0.47885517913903,-2.84921593804754,-1.91882544323201,0.00342135,2.29743326351237,10.8676321587089,0.422305311210354,6.67118389432777,-4.46976827536116,2.84512157648366,2.81558060942499,0.0295409670586704
"23099446",7,15170.4783,2.01072454459815,4.18099927358674,2.06912822287107,1149,2.10603054442934,0.197489275582393,0.478853828282769,-3.24077800799449,-2.77494622578809,0.0010132763,2.25221064989783,10.8676307180258,0.422304503707334,7.76714242954948,-5.49051521077606,0.246934629232238,0.244528765768139,0.00240586346409931
"23099448",7,15158.5515,2.01070846713634,4.18065770356436,2.06894842420287,192,2.10587258890008,0.197355898153473,0.478753217513782,-3.38021819047891,-3.08596434334126,0.0006512405,2.80385389843073,10.86752325427,0.42209043873167,8.21100710709327,-5.86547228220266,0.135593686644477,0.133114135305357,0.00247955133912075
"23099450",7,15158.4885,2.01070834715281,4.18065589860237,2.06894747409091,1327,2.10587175421405,0.197355193339407,0.47875268585399,-3.41530701427719,-3.15322436056115,0.0005918653,2.25048866117874,10.8675227135848,0.422089036454026,8.47167443519701,-5.95000714307986,0.0859781625059803,0.0851450581688697,0.000833104337110585
"23099452",7,15156.6642,2.01070582749582,4.18060362880633,2.06891995985049,833,2.10584758258669,0.197334782844963,0.478737289590185,-3.30786721425966,-2.91942953490812,0.0008251647,2.26900820740621,10.8675062216565,0.422053949824092,7.96811921325935,-5.65743915654917,0.173470946912632,0.17175101086128,0.00171993605135182
"23099454",7,15155.3079,2.01070402773194,4.1805647640565,2.0688995018776,780,2.10582960998451,0.197319606806325,0.478725841827536,-3.34803425162488,-3.00659556014017,0.0007290116,2.251946234771,10.8674940542035,0.422012596854296,8.17773536581192,-5.76728335022183,0.129455481776006,0.12819550343353,0.00125997834247605
"23099456",7,15153.9417,2.0107022279606,4.1805256121059,2.06887889272541,1946,2.1058115045693,0.1973043186229,0.478714309457901,-3.11016626253524,-2.47647828021326,0.0015487002,2.28553280709357,10.8674817053839,0.421986969486052,7.4750025960029,-5.09624821841337,0.652233920904851,0.645647319812386,0.00658660109246494
"23099458",7,15149.6937,2.01069646864236,4.18040385226113,2.06881479969471,294,2.10575519798657,0.197256773412858,0.478678444633191,-3.0881395630703,-2.39842971282632,0.0017303959,2.28128149872551,10.8674433898971,0.421867464527784,7.01585975225117,-5.05151856976748,0.737162518719672,0.729724450131343,0.00743806858832898
"23099460",7,15129.756,2.01066983080145,4.17983192414294,2.06851374308195,4178,2.10549071573496,0.197033444947968,0.478509980999483,-2.84065241558616,-1.87096917591188,0.0036621692,2.2019781571669,10.8672635692945,0.420773279141072,6.58127128874167,-4.41348920990426,2.89222034462254,2.8650145573831,0.0272057872394393
"23099462",7,15094.3338,2.01062195057404,4.17881394986203,2.06797789272044,836,2.10501996404197,0.196635942829082,0.478210132766808,-2.36590378632272,-1.16422539780228,0.0162952423,2.20825864068963,10.8669433126221,0.420677752365426,5.16678072918643,-3.41738105020447,24.4622208015892,24.2295797626604,0.232641038928763
"23099464",7,15093.2808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099466",4,871.0164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099468",4,871.0101,-0.664804912333046,2.94002319099944,1.41589218837691,1438,1.53215397132577,-0.287091353939287,0.113319547581767,-2.45104213270768,-4.27911004237806,0.0001194625,1.04850665317071,10.0157186110649,1.06724576626702,8.11755582038316,-7.11350927482752,0.00307518090326494,0.00306045776232926,1.47231409356738e-05
"23099470",4,856.4058,-0.672257349920136,2.93267959988754,1.41202660353269,1518,1.52875800345765,-0.289958904711875,0.111156464554724,-2.50825181600678,-4.43714589014606,9.54286e-05,1.05251694177068,10.0036876604241,1.07899517920533,8.34350652233572,-7.2958494831602,0.00175895412246388,0.00175029984998044,8.65427248343922e-06
"23099472",4,842.4522,-0.679839906660852,2.92554526875387,1.40827117081814,1413,1.52545880570532,-0.292744743050197,0.109055019847039,-2.49693010842561,-4.41031060672455,9.91388e-05,1.0671519997985,10.0208863349273,1.09536111144177,8.3112045961574,-7.24949160514865,0.0021467253508317,0.00213607662397841,1.06487268532971e-05
